Year,North America,Europe & Central Asia,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,South Asia,Sub-Saharan Africa
2026,0.01,0,0,0,0,0,0
2027,0.01,0,0,0,0,0,0
2028,0.016662361,0,0,0,0,0,0
2029,0.026717791,0,0,0,0,0,0
2030,0.03880037,0,0,0,0,0,0
2031,0.054359145,0,0,0,0,0,0
2032,0.07030481,0,0,0,0,0,0
2033,0.085990176,0,0,0,0,0,0
2034,0.10142462,0.017011797,0,0,0,0,0
2035,0.116793916,0.03385556,0,0,0,0,0
2036,0.13215356,0.050847888,0.01,0.01,0,0,0
2037,0.22089073,0.10286051,0.03927599,0.014613412,0,0,0
2038,0.24309969,0.1315201,0.077983186,0.030621514,0,0,0
2039,0.26463148,0.16364083,0.11728202,0.04867406,0.01,0,0.01
2040,0.28552312,0.19972157,0.15849638,0.06989618,0.012716664,0,0.010167425
2041,0.30626154,0.23005667,0.20333804,0.096281566,0.025512826,0,0.020846592
2042,0.32703042,0.25701246,0.25429884,0.123780884,0.03878484,0.01,0.03217519
2043,0.34798497,0.28177375,0.30312544,0.15015458,0.053088024,0.050248556,0.044245116
2044,0.3687092,0.30497155,0.3427412,0.17553574,0.06848975,0.097770706,0.05721757
2045,0.3890244,0.32686156,0.3761657,0.19991735,0.085087545,0.14429171,0.071305476
2046,0.4668894,0.40701532,0.47137806,0.28931734,0.17180842,0.36125883,0.14465265
2047,0.48483905,0.42579454,0.4888988,0.309701,0.19451769,0.40433192,0.16751713
2048,0.50253385,0.44409904,0.50482774,0.32922605,0.21693477,0.44098452,0.19045693
2049,0.52036947,0.46187684,0.5195744,0.34812257,0.2395762,0.47347197,0.21354257
2050,0.53876996,0.47904006,0.53391904,0.3668496,0.26278275,0.50284064,0.23682088
2051,0.55781657,0.4955746,0.5488771,0.38571516,0.28677312,0.52946854,0.2603016
2052,0.57718396,0.5115076,0.5647168,0.40474147,0.31115374,0.55396855,0.2839956
2053,0.59676385,0.527085,0.5811852,0.42407283,0.3352752,0.57672125,0.3078551
2054,0.616401,0.54273635,0.598,0.44399235,0.3587706,0.5975798,0.33179176
2055,0.63589215,0.5587209,0.61457855,0.46457675,0.38166165,0.6164717,0.35571006
2056,0.75,0.710821,0.7185965,0.63252664,0.5457697,0.7066558,0.538039
2057,0.75,0.7250555,0.7269073,0.6539768,0.57078665,0.7185658,0.5671383
2058,0.75,0.7337866,0.73371685,0.6745562,0.59610075,0.7267417,0.59525317
2059,0.75,0.7435473,0.74056095,0.69821507,0.62629145,0.73494977,0.6269105
2060,0.75,0.7497126,0.74509126,0.7170241,0.6515586,0.7407806,0.65184677
2061,0.75,0.7504526,0.7469151,0.7295167,0.67199814,0.7441789,0.67092437
2062,0.75,0.75,0.7488145,0.74209833,0.69334143,0.74741846,0.6918807
2063,0.75,0.75,0.7499486,0.7497654,0.70976627,0.7494193,0.70833814
2064,0.75,0.75,0.750085,0.75054055,0.7230858,0.7498271,0.7221917
2065,0.75,0.75,0.75,0.75,0.7388689,0.75001645,0.73854625
2066,0.75,0.75,0.75,0.75,0.74933666,0.7500129,0.74936205
2067,0.75,0.75,0.75,0.75,0.7507972,0.75,0.75081277
2068,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2069,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2070,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2071,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2072,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2073,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2074,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2075,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2076,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2077,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2078,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2079,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2080,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2081,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2082,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2083,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2084,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2085,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2086,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2087,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2088,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2089,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2090,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2091,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2092,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2093,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2094,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2095,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2096,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2097,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2098,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2099,0.75,0.75,0.75,0.75,0.75,0.75,0.75
2100,0.75,0.75,0.75,0.75,0.75,0.75,0.75
