Year,Scenario0,Scenario1,Scenario2,Scenario3,Scenario4
2026,0.000791855,0.000791855,0.003173493,0.004584569,0.000791855
2027,0.000791855,0.000935944,0.004608641,0.006913455,0.000791855
2028,0.001319417,0.001979126,0.006456685,0.009721002,0.001319417
2029,0.002115662,0.003173493,0.008350684,0.012056906,0.002115662
2030,0.003072427,0.004608641,0.010213765,0.014040778,0.003072427
2031,0.004304457,0.006456685,0.014295379,0.020060737,0.004304457
2032,0.005567122,0.008350684,0.018347049,0.025412809,0.005567122
2033,0.006809176,0.010213765,0.028416182,0.033368503,0.006809176
2034,0.009530253,0.014295379,0.04356223,0.060919537,0.009530253
2035,0.012231366,0.018347049,0.065034517,0.089801516,0.012231366
2036,0.020943781,0.028416182,0.089914615,0.121203061,0.020943781
2037,0.029109972,0.04356223,0.114223851,0.15774056,0.04356223
2038,0.043356345,0.065034517,0.143133982,0.200134419,0.065034517
2039,0.06074824,0.089914615,0.178184769,0.237051995,0.089914615
2040,0.076911695,0.114223851,0.224144033,0.292281334,0.114223851
2041,0.095422656,0.143133982,0.269691155,0.349202266,0.143133982
2042,0.120103152,0.178184769,0.312631882,0.399006048,0.178184769
2043,0.149429352,0.224144033,0.354401619,0.451524843,0.224144033
2044,0.179794103,0.269691155,0.396548957,0.512319575,0.269691155
2045,0.208421257,0.312631882,0.440516549,0.561302573,0.312631882
2046,0.236267747,0.354401619,0.484757112,0.601121885,0.484757112
2047,0.26436598,0.396548957,0.521596403,0.646743329,0.521596403
2048,0.293677694,0.440516549,0.555098772,0.684735547,0.555098772
2049,0.323171414,0.484757112,0.586398711,0.721196984,0.586398711
2050,0.347730935,0.521596403,0.616331065,0.762651524,0.616331065
2051,0.370065848,0.555098772,0.645475424,0.796583464,0.645475424
2052,0.390932486,0.586398711,0.674144299,0.827267689,0.674144299
2053,0.410887353,0.616331065,0.70243744,0.861453961,0.70243744
2054,0.430316951,0.645475424,0.730279526,0.888661096,0.730279526
2055,0.449429535,0.674144299,0.757452436,0.912195523,0.757452436
2056,0.468291639,0.70243744,0.783684339,0.938682925,0.938682925
2057,0.486853015,0.730279526,0.809021935,0.960097848,0.960097848
2058,0.504968298,0.757452436,0.833608636,0.978597693,0.978597693
2059,0.522456228,0.783684339,0.857226637,0.998898828,0.998898828
2060,0.539347959,0.809021935,0.87938182,1.014277792,1.014277792
2061,0.555739101,0.833608636,0.900183534,1.02423185,1.02423185
2062,0.571484425,0.857226637,0.919519799,1.034511966,1.034511966
2063,0.586254561,0.87938182,0.937580303,1.041691633,1.041691633
2064,0.600122364,0.900183534,0.954032865,1.045445244,1.045445244
2065,0.613013188,0.919519799,0.969506478,1.049292949,1.049292949
2066,0.625053536,0.937580303,0.984044882,1.051900882,1.051900882
2067,0.636021909,0.954032865,0.997432845,1.052246311,1.052246311
2068,0.646337657,0.969506478,1.009297079,1.052050131,1.052050131
2069,0.656029929,0.984044882,1.019472209,1.052050131,1.052050131
2070,0.664955231,0.997432845,1.027764566,1.052050131,1.052050131
2071,0.672864707,1.009297079,1.034301197,1.052050131,1.052050131
2072,0.679648141,1.019472209,1.039837964,1.052050131,1.052050131
2073,0.685176359,1.027764566,1.04469546,1.052050131,1.052050131
2074,0.689534132,1.034301197,1.047309238,1.052050131,1.052050131
2075,0.693225306,1.039837964,1.049761341,1.052050131,1.052050131
2076,0.69646364,1.04469546,1.052050131,1.052050131,1.052050131
2077,0.69820615,1.047309238,1.052050131,1.052050131,1.052050131
2078,0.699840896,1.049761341,1.052050131,1.052050131,1.052050131
2079,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2080,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2081,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2082,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2083,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2084,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2085,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2086,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2087,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2088,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2089,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2090,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2091,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2092,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2093,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2094,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2095,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2096,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2097,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2098,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2099,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
2100,0.701366752,1.052050131,1.052050131,1.052050131,1.052050131
