Year,Scenario0,Scenario1,Scenario2,Scenario3,Scenario4
2026,0.000791855,0.000791855,0.003173493,0.004584569,0.000791855
2027,0.00158371,0.001727799,0.007782134,0.011498024,0.00158371
2028,0.002903127,0.003706925,0.014238819,0.021219026,0.002903127
2029,0.005018789,0.006880418,0.022589503,0.033275932,0.005018789
2030,0.008091216,0.011489059,0.032803268,0.04731671,0.008091216
2031,0.012395673,0.017945744,0.047098647,0.067377447,0.012395673
2032,0.017962795,0.026296428,0.065445696,0.092790256,0.017962795
2033,0.024771971,0.036510193,0.093861878,0.126158759,0.024771971
2034,0.034302224,0.050805572,0.137424108,0.187078296,0.034302224
2035,0.04653359,0.069152621,0.202458625,0.276879812,0.04653359
2036,0.067477371,0.097568803,0.29237324,0.398082873,0.067477371
2037,0.096587343,0.141131033,0.406597091,0.555823433,0.111039601
2038,0.139943688,0.20616555,0.549731073,0.755957852,0.176074118
2039,0.200691928,0.296080165,0.727915842,0.993009847,0.265988733
2040,0.277603623,0.410304016,0.952059875,1.285291181,0.380212584
2041,0.373026279,0.553437998,1.22175103,1.634493447,0.523346566
2042,0.493129431,0.731622767,1.534382912,2.033499495,0.701531335
2043,0.642558783,0.9557668,1.888784531,2.485024338,0.925675368
2044,0.822352886,1.225457955,2.285333488,2.997343913,1.195366523
2045,1.030774143,1.538089837,2.725850037,3.558646486,1.507998405
2046,1.26704189,1.892491456,3.210607149,4.159768371,1.992755517
2047,1.53140787,2.289040413,3.732203552,4.8065117,2.51435192
2048,1.825085564,2.729556962,4.287302324,5.491247247,3.069450692
2049,2.148256978,3.214314074,4.873701035,6.212444231,3.655849403
2050,2.495987913,3.735910477,5.4900321,6.975095755,4.272180468
2051,2.866053761,4.291009249,6.135507524,7.771679219,4.917655892
2052,3.256986247,4.87740796,6.809651823,8.598946908,5.591800191
2053,3.6678736,5.493739025,7.512089263,9.460400869,6.294237631
2054,4.098190551,6.139214449,8.242368789,10.34906197,7.024517157
2055,4.547620086,6.813358748,8.999821225,11.26125749,7.781969593
2056,5.015911725,7.515796188,9.783505564,12.19994041,8.720652518
2057,5.50276474,8.246075714,10.5925275,13.16003826,9.680750366
2058,6.007733038,9.00352815,11.42613613,14.13863595,10.65934806
2059,6.530189266,9.787212489,12.28336277,15.13753478,11.65824689
2060,7.069537225,10.59623442,13.16274459,16.15181257,12.67252468
2061,7.625276326,11.42984306,14.06292813,17.17604442,13.69675653
2062,8.196760751,12.2870697,14.98244792,18.21055639,14.73126849
2063,8.783015312,13.16645152,15.92002823,19.25224802,15.77296013
2064,9.383137676,14.06663505,16.87406109,20.29769327,16.81840537
2065,9.996150864,14.98615485,17.84356757,21.34698622,17.86769832
2066,10.6212044,15.92373515,18.82761245,22.3988871,18.9195992
2067,11.25722631,16.87776802,19.8250453,23.45113341,19.97184551
2068,11.90356397,17.8472745,20.83434238,24.50318354,21.02389565
2069,12.5595939,18.83131938,21.85381459,25.55523367,22.07594578
2070,13.22454913,19.82875222,22.88157915,26.6072838,23.12799591
2071,13.89741383,20.8380493,23.91588035,27.65933393,24.18004604
2072,14.57706197,21.85752151,24.95571831,28.71138406,25.23209617
2073,15.26223833,22.88528608,26.00041377,29.7634342,26.2841463
2074,15.95177247,23.91958727,27.04772301,30.81548433,27.33619643
2075,16.64499777,24.95942524,28.09748435,31.86753446,28.38824656
2076,17.34146141,26.0041207,29.14953448,32.91958459,29.44029669
2077,18.03966756,27.05142994,30.20158461,33.97163472,30.49234682
2078,18.73950846,28.10119128,31.25363475,35.02368485,31.54439696
2079,19.44087521,29.15324141,32.30568488,36.07573498,32.59644709
2080,20.14224196,30.20529154,33.35773501,37.12778511,33.64849722
2081,20.84360871,31.25734167,34.40978514,38.17983524,34.70054735
2082,21.54497547,32.3093918,35.46183527,39.23188537,35.75259748
2083,22.24634222,33.36144193,36.5138854,40.28393551,36.80464761
2084,22.94770897,34.41349206,37.56593553,41.33598564,37.85669774
2085,23.64907572,35.46554219,38.61798566,42.38803577,38.90874787
2086,24.35044247,36.51759233,39.67003579,43.4400859,39.960798
2087,25.05180922,37.56964246,40.72208592,44.49213603,41.01284813
2088,25.75317598,38.62169259,41.77413606,45.54418616,42.06489827
2089,26.45454273,39.67374272,42.82618619,46.59623629,43.1169484
2090,27.15590948,40.72579285,43.87823632,47.64828642,44.16899853
2091,27.85727623,41.77784298,44.93028645,48.70033655,45.22104866
2092,28.55864298,42.82989311,45.98233658,49.75238668,46.27309879
2093,29.26000974,43.88194324,47.03438671,50.80443682,47.32514892
2094,29.96137649,44.93399337,48.08643684,51.85648695,48.37719905
2095,30.66274324,45.9860435,49.13848697,52.90853708,49.42924918
2096,31.36410999,47.03809364,50.1905371,53.96058721,50.48129931
2097,32.06547674,48.09014377,51.24258723,55.01263734,51.53334944
2098,32.7668435,49.1421939,52.29463737,56.06468747,52.58539958
2099,33.46821025,50.19424403,53.3466875,57.1167376,53.63744971
2100,34.169577,51.24629416,54.39873763,58.16878773,54.68949984
