Year,Region,Annual_CO2_Mean,Annual_CI_Lower,Annual_CI_Upper,Cumulative_CO2_Mean,Cumulative_CI_Lower,Cumulative_CI_Upper
2026,North America,0.0020267256532541062,-0.0010639097391108414,0.005117361045619054,0.0020267256532541062,-0.0010639097391108414,0.005117361045619054
2027,North America,0.002808350343426178,-0.0021292429136009657,0.007745943600453321,0.004835075996680284,-0.000990029521709812,0.010660181515070378
2028,North America,0.0041591299742520646,-0.0024640188602288293,0.010782278808732958,0.00899420597093235,0.00017389107949767075,0.017814520862367025
2029,North America,0.00556248191745585,-0.0022490478894948737,0.013374011724406575,0.0145566878883882,0.002774584820219768,0.026338790956556633
2030,North America,0.007061471218418044,-0.0017370132382855145,0.015859955675121603,0.021618159106806246,0.006913354400731495,0.03632296381288099
2031,North America,0.00882719963784266,-0.0009364380898573864,0.018590837365542703,0.030445358744648904,0.012794299197937101,0.04809641829136071
2032,North America,0.01052426421769087,9.891287441410683e-05,0.02094961556096763,0.040969622962339775,0.02046967530991079,0.06146957061476876
2033,North America,0.01218061739922459,0.001146802490097316,0.02321443230835187,0.05315024036156437,0.029869498852729052,0.07643098187039968
2034,North America,0.013886346490411502,0.0020019118761292697,0.025770781104693732,0.06703658685197587,0.040897866315148565,0.09317530738880318
2035,North America,0.015504638834724808,0.0030123046882084346,0.02799697298124118,0.08254122568670069,0.05357070405296795,0.11151174732043342
2036,North America,0.017110018966328955,0.004020023399284934,0.030200014533372975,0.09965124465302964,0.06786069404949639,0.1314417952565629
2037,North America,0.01992793311521423,0.0076315345123948155,0.03222433171803364,0.11957917776824388,0.08549339588964781,0.15366495964683996
2038,North America,0.021599230948377346,0.008842150366350025,0.034356311530404665,0.1411784087166212,0.10478357898420503,0.17757323844903744
2039,North America,0.023224969550631958,0.010023375477269472,0.03642656362399445,0.16440337826725318,0.12568819110085291,0.20311856543365348
2040,North America,0.024884827134891322,0.011012330395267722,0.03875732387451492,0.18928820540214453,0.14816264299723297,0.23041376780705608
2041,North America,0.026453178248282735,0.012165021922102547,0.04074133457446292,0.21574138365042725,0.17220446489953678,0.2592783024013177
2042,North America,0.02800495915800358,0.013339423200765055,0.04267049511524211,0.24374634280843083,0.19780571548103473,0.28968697013582695
2043,North America,0.029635907534029775,0.014362694390437653,0.04490912067762189,0.27338225034246055,0.22496931530476338,0.3217951853801578
2044,North America,0.03119564817228175,0.015484185271881626,0.046907111072681876,0.3045778985147423,0.2536793489731794,0.35547644805630524
2045,North America,0.032749435326352626,0.016524281609609368,0.04897458904309589,0.337327333841095,0.28390526013961004,0.39074940754257986
2046,North America,0.03526943200826388,0.018326485847260057,0.0522123781692677,0.37259676584935886,0.31655230686203734,0.4286412248366804
